@relation DNA11-weka.filters.unsupervised.attribute.Remove-R1

@attribute Length numeric
@attribute Gene_Wood_type {BER,MMR,NER,HomoRecomb,NHEJ,Other,DNApolym,EditNucl,Rad6path,Disease,OtherSuspect,OtherConserved}
@attribute KaKi numeric
@attribute GO.0000075 {0,1}
@attribute GO.0000077 {0,1}
@attribute GO.0000718 {0,1}
@attribute GO.0006139 {0,1}
@attribute GO.0006259 {0,1}
@attribute GO.0006260 {0,1}
@attribute GO.0006281 {0,1}
@attribute GO.0006289 {0,1}
@attribute GO.0006298 {0,1}
@attribute GO.0006302 {0,1}
@attribute GO.0006308 {0,1}
@attribute GO.0006310 {0,1}
@attribute GO.0006355 {0,1}
@attribute GO.0006357 {0,1}
@attribute GO.0006461 {0,1}
@attribute GO.0006464 {0,1}
@attribute GO.0006807 {0,1}
@attribute GO.0006950 {0,1}
@attribute GO.0006974 {0,1}
@attribute GO.0006996 {0,1}
@attribute GO.0007131 {0,1}
@attribute GO.0007165 {0,1}
@attribute GO.0007242 {0,1}
@attribute GO.0008152 {0,1}
@attribute GO.0009056 {0,1}
@attribute GO.0009057 {0,1}
@attribute GO.0009058 {0,1}
@attribute GO.0009059 {0,1}
@attribute GO.0009314 {0,1}
@attribute GO.0009411 {0,1}
@attribute GO.0009416 {0,1}
@attribute GO.0009628 {0,1}
@attribute GO.0009889 {0,1}
@attribute GO.0009891 {0,1}
@attribute GO.0009892 {0,1}
@attribute GO.0009893 {0,1}
@attribute GO.0009987 {0,1}
@attribute GO.0010212 {0,1}
@attribute GO.0010468 {0,1}
@attribute GO.0010556 {0,1}
@attribute GO.0010557 {0,1}
@attribute GO.0010604 {0,1}
@attribute GO.0010605 {0,1}
@attribute GO.0010628 {0,1}
@attribute GO.0016043 {0,1}
@attribute GO.0016070 {0,1}
@attribute GO.0019219 {0,1}
@attribute GO.0019222 {0,1}
@attribute GO.0019538 {0,1}
@attribute GO.0022402 {0,1}
@attribute GO.0022403 {0,1}
@attribute GO.0022607 {0,1}
@attribute GO.0031323 {0,1}
@attribute GO.0031324 {0,1}
@attribute GO.0031325 {0,1}
@attribute GO.0031326 {0,1}
@attribute GO.0031328 {0,1}
@attribute GO.0031570 {0,1}
@attribute GO.0032502 {0,1}
@attribute GO.0033554 {0,1}
@attribute GO.0034645 {0,1}
@attribute GO.0042221 {0,1}
@attribute GO.0042770 {0,1}
@attribute GO.0043170 {0,1}
@attribute GO.0043412 {0,1}
@attribute GO.0043687 {0,1}
@attribute GO.0043933 {0,1}
@attribute GO.0044237 {0,1}
@attribute GO.0044238 {0,1}
@attribute GO.0044248 {0,1}
@attribute GO.0044249 {0,1}
@attribute GO.0044260 {0,1}
@attribute GO.0044265 {0,1}
@attribute GO.0044267 {0,1}
@attribute GO.0044281 {0,1}
@attribute GO.0045449 {0,1}
@attribute GO.0045934 {0,1}
@attribute GO.0045935 {0,1}
@attribute GO.0045941 {0,1}
@attribute GO.0048518 {0,1}
@attribute GO.0048519 {0,1}
@attribute GO.0048522 {0,1}
@attribute GO.0048523 {0,1}
@attribute GO.0050789 {0,1}
@attribute GO.0050790 {0,1}
@attribute GO.0050794 {0,1}
@attribute GO.0050896 {0,1}
@attribute GO.0051052 {0,1}
@attribute GO.0051171 {0,1}
@attribute GO.0051172 {0,1}
@attribute GO.0051173 {0,1}
@attribute GO.0051252 {0,1}
@attribute GO.0051254 {0,1}
@attribute GO.0051276 {0,1}
@attribute GO.0051716 {0,1}
@attribute GO.0051726 {0,1}
@attribute GO.0060255 {0,1}
@attribute GO.0065003 {0,1}
@attribute GO.0065007 {0,1}
@attribute GO.0065009 {0,1}
@attribute GO.0080090 {0,1}
@attribute Class {not-age-related,aging}

@data
273,NER,0.172414,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aging
732,NHEJ,0.09841,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,aging
609,NHEJ,?,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,aging
261,Other,?,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,not-age-related
286,?,?,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,not-age-related
518,BER,?,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,not-age-related
791,?,?,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,not-age-related
323,NER,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,not-age-related
346,NER,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,not-age-related
172,NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,not-age-related
956,?,?,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,not-age-related
476,OtherConserved,0.158983,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,not-age-related
1040,OtherSuspect,0.426388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-age-related
532,OtherSuspect,0.083857,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,not-age-related
692,NHEJ,0.064365,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-age-related
1140,NER,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,not-age-related
427,NER,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-age-related
340,HomoRecomb,0.106007,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-age-related
