@relation DNA3-weka.filters.unsupervised.attribute.Remove-R1

@attribute Length numeric
@attribute Gene_Wood_type {BER,MMR,NER,HomoRecomb,NHEJ,Other,DNApolym,EditNucl,Rad6path,Disease,OtherSuspect,OtherConserved}
@attribute KaKi numeric
@attribute NumInter numeric
@attribute APEX1_interaction {0,1}
@attribute ATM_interaction {0,1}
@attribute ATR_interaction {0,1}
@attribute BLM_interaction {0,1}
@attribute BRCA1_interaction {0,1}
@attribute BRCA2_interaction {0,1}
@attribute CDK7_interaction {0,1}
@attribute CHAF1A_interaction {0,1}
@attribute CHEK1_interaction {0,1}
@attribute CHEK2_interaction {0,1}
@attribute EP300_interaction {0,1}
@attribute ERCC3_interaction {0,1}
@attribute FANCA_interaction {0,1}
@attribute FANCD2_interaction {0,1}
@attribute GTF2H1_interaction {0,1}
@attribute MDC1_interaction {0,1}
@attribute NBN_interaction {0,1}
@attribute PARP1_interaction {0,1}
@attribute PCNA_interaction {0,1}
@attribute PRKDC_interaction {0,1}
@attribute RAD51_interaction {0,1}
@attribute RAD9A_interaction {0,1}
@attribute RBBP8_interaction {0,1}
@attribute RPA1_interaction {0,1}
@attribute TDG_interaction {0,1}
@attribute TP53_interaction {0,1}
@attribute WRN_interaction {0,1}
@attribute XRCC1_interaction {0,1}
@attribute XRCC5_interaction {0,1}
@attribute XRCC6_interaction {0,1}
@attribute GO.0000012 {0,1}
@attribute GO.0000018 {0,1}
@attribute GO.0000075 {0,1}
@attribute GO.0000077 {0,1}
@attribute GO.0000079 {0,1}
@attribute GO.0000209 {0,1}
@attribute GO.0000280 {0,1}
@attribute GO.0000718 {0,1}
@attribute GO.0000723 {0,1}
@attribute GO.0000724 {0,1}
@attribute GO.0000725 {0,1}
@attribute GO.0000726 {0,1}
@attribute GO.0000731 {0,1}
@attribute GO.0000737 {0,1}
@attribute GO.0001775 {0,1}
@attribute GO.0001932 {0,1}
@attribute GO.0001934 {0,1}
@attribute GO.0002200 {0,1}
@attribute GO.0002204 {0,1}
@attribute GO.0002208 {0,1}
@attribute GO.0002376 {0,1}
@attribute GO.0002562 {0,1}
@attribute GO.0006139 {0,1}
@attribute GO.0006163 {0,1}
@attribute GO.0006195 {0,1}
@attribute GO.0006220 {0,1}
@attribute GO.0006244 {0,1}
@attribute GO.0006259 {0,1}
@attribute GO.0006260 {0,1}
@attribute GO.0006261 {0,1}
@attribute GO.0006266 {0,1}
@attribute GO.0006275 {0,1}
@attribute GO.0006281 {0,1}
@attribute GO.0006282 {0,1}
@attribute GO.0006283 {0,1}
@attribute GO.0006284 {0,1}
@attribute GO.0006285 {0,1}
@attribute GO.0006289 {0,1}
@attribute GO.0006295 {0,1}
@attribute GO.0006296 {0,1}
@attribute GO.0006297 {0,1}
@attribute GO.0006298 {0,1}
@attribute GO.0006301 {0,1}
@attribute GO.0006302 {0,1}
@attribute GO.0006303 {0,1}
@attribute GO.0006304 {0,1}
@attribute GO.0006308 {0,1}
@attribute GO.0006310 {0,1}
@attribute GO.0006312 {0,1}
@attribute GO.0006325 {0,1}
@attribute GO.0006350 {0,1}
@attribute GO.0006351 {0,1}
@attribute GO.0006352 {0,1}
@attribute GO.0006354 {0,1}
@attribute GO.0006355 {0,1}
@attribute GO.0006357 {0,1}
@attribute GO.0006366 {0,1}
@attribute GO.0006367 {0,1}
@attribute GO.0006368 {0,1}
@attribute GO.0006461 {0,1}
@attribute GO.0006464 {0,1}
@attribute GO.0006468 {0,1}
@attribute GO.0006508 {0,1}
@attribute GO.0006511 {0,1}
@attribute GO.0006753 {0,1}
@attribute GO.0006793 {0,1}
@attribute GO.0006796 {0,1}
@attribute GO.0006807 {0,1}
@attribute GO.0006917 {0,1}
@attribute GO.0006950 {0,1}
@attribute GO.0006974 {0,1}
@attribute GO.0006979 {0,1}
@attribute GO.0006996 {0,1}
@attribute GO.0007049 {0,1}
@attribute GO.0007050 {0,1}
@attribute GO.0007067 {0,1}
@attribute GO.0007093 {0,1}
@attribute GO.0007126 {0,1}
@attribute GO.0007131 {0,1}
@attribute GO.0007165 {0,1}
@attribute GO.0007242 {0,1}
@attribute GO.0007346 {0,1}
@attribute GO.0007568 {0,1}
@attribute GO.0008152 {0,1}
@attribute GO.0008156 {0,1}
@attribute GO.0008219 {0,1}
@attribute GO.0008283 {0,1}
@attribute GO.0008629 {0,1}
@attribute GO.0008630 {0,1}
@attribute GO.0009056 {0,1}
@attribute GO.0009057 {0,1}
@attribute GO.0009058 {0,1}
@attribute GO.0009059 {0,1}
@attribute GO.0009117 {0,1}
@attribute GO.0009151 {0,1}
@attribute GO.0009155 {0,1}
@attribute GO.0009166 {0,1}
@attribute GO.0009219 {0,1}
@attribute GO.0009223 {0,1}
@attribute GO.0009262 {0,1}
@attribute GO.0009264 {0,1}
@attribute GO.0009314 {0,1}
@attribute GO.0009394 {0,1}
@attribute GO.0009411 {0,1}
@attribute GO.0009416 {0,1}
@attribute GO.0009628 {0,1}
@attribute GO.0009650 {0,1}
@attribute GO.0009719 {0,1}
@attribute GO.0009725 {0,1}
@attribute GO.0009889 {0,1}
@attribute GO.0009890 {0,1}
@attribute GO.0009891 {0,1}
@attribute GO.0009892 {0,1}
@attribute GO.0009893 {0,1}
@attribute GO.0009966 {0,1}
@attribute GO.0009967 {0,1}
@attribute GO.0009987 {0,1}
@attribute GO.0010033 {0,1}
@attribute GO.0010149 {0,1}
@attribute GO.0010165 {0,1}
@attribute GO.0010212 {0,1}
@attribute GO.0010225 {0,1}
@attribute GO.0010332 {0,1}
@attribute GO.0010468 {0,1}
@attribute GO.0010551 {0,1}
@attribute GO.0010552 {0,1}
@attribute GO.0010556 {0,1}
@attribute GO.0010557 {0,1}
@attribute GO.0010558 {0,1}
@attribute GO.0010562 {0,1}
@attribute GO.0010564 {0,1}
@attribute GO.0010604 {0,1}
@attribute GO.0010605 {0,1}
@attribute GO.0010628 {0,1}
@attribute GO.0010639 {0,1}
@attribute GO.0010646 {0,1}
@attribute GO.0010647 {0,1}
@attribute GO.0010941 {0,1}
@attribute GO.0010942 {0,1}
@attribute GO.0010948 {0,1}
@attribute GO.0012502 {0,1}
@attribute GO.0015074 {0,1}
@attribute GO.0016043 {0,1}
@attribute GO.0016070 {0,1}
@attribute GO.0016265 {0,1}
@attribute GO.0016310 {0,1}
@attribute GO.0016444 {0,1}
@attribute GO.0016445 {0,1}
@attribute GO.0016447 {0,1}
@attribute GO.0016567 {0,1}
@attribute GO.0016568 {0,1}
@attribute GO.0016569 {0,1}
@attribute GO.0016570 {0,1}
@attribute GO.0016574 {0,1}
@attribute GO.0019047 {0,1}
@attribute GO.0019059 {0,1}
@attribute GO.0019219 {0,1}
@attribute GO.0019220 {0,1}
@attribute GO.0019222 {0,1}
@attribute GO.0019538 {0,1}
@attribute GO.0019941 {0,1}
@attribute GO.0022402 {0,1}
@attribute GO.0022403 {0,1}
@attribute GO.0022414 {0,1}
@attribute GO.0022415 {0,1}
@attribute GO.0022607 {0,1}
@attribute GO.0030154 {0,1}
@attribute GO.0030163 {0,1}
@attribute GO.0030174 {0,1}
@attribute GO.0030330 {0,1}
@attribute GO.0031323 {0,1}
@attribute GO.0031324 {0,1}
@attribute GO.0031325 {0,1}
@attribute GO.0031326 {0,1}
@attribute GO.0031327 {0,1}
@attribute GO.0031328 {0,1}
@attribute GO.0031399 {0,1}
@attribute GO.0031401 {0,1}
@attribute GO.0031570 {0,1}
@attribute GO.0031572 {0,1}
@attribute GO.0031576 {0,1}
@attribute GO.0031952 {0,1}
@attribute GO.0031954 {0,1}
@attribute GO.0032200 {0,1}
@attribute GO.0032268 {0,1}
@attribute GO.0032270 {0,1}
@attribute GO.0032392 {0,1}
@attribute GO.0032446 {0,1}
@attribute GO.0032501 {0,1}
@attribute GO.0032502 {0,1}
@attribute GO.0032508 {0,1}
@attribute GO.0032583 {0,1}
@attribute GO.0032774 {0,1}
@attribute GO.0033043 {0,1}
@attribute GO.0033044 {0,1}
@attribute GO.0033554 {0,1}
@attribute GO.0033674 {0,1}
@attribute GO.0033683 {0,1}
@attribute GO.0034645 {0,1}
@attribute GO.0042113 {0,1}
@attribute GO.0042127 {0,1}
@attribute GO.0042221 {0,1}
@attribute GO.0042325 {0,1}
@attribute GO.0042327 {0,1}
@attribute GO.0042592 {0,1}
@attribute GO.0042770 {0,1}
@attribute GO.0042981 {0,1}
@attribute GO.0043065 {0,1}
@attribute GO.0043066 {0,1}
@attribute GO.0043067 {0,1}
@attribute GO.0043068 {0,1}
@attribute GO.0043069 {0,1}
@attribute GO.0043085 {0,1}
@attribute GO.0043170 {0,1}
@attribute GO.0043193 {0,1}
@attribute GO.0043412 {0,1}
@attribute GO.0043549 {0,1}
@attribute GO.0043632 {0,1}
@attribute GO.0043687 {0,1}
@attribute GO.0043933 {0,1}
@attribute GO.0044093 {0,1}
@attribute GO.0044237 {0,1}
@attribute GO.0044238 {0,1}
@attribute GO.0044248 {0,1}
@attribute GO.0044249 {0,1}
@attribute GO.0044257 {0,1}
@attribute GO.0044260 {0,1}
@attribute GO.0044265 {0,1}
@attribute GO.0044267 {0,1}
@attribute GO.0044281 {0,1}
@attribute GO.0044419 {0,1}
@attribute GO.0045007 {0,1}
@attribute GO.0045008 {0,1}
@attribute GO.0045190 {0,1}
@attribute GO.0045321 {0,1}
@attribute GO.0045449 {0,1}
@attribute GO.0045739 {0,1}
@attribute GO.0045859 {0,1}
@attribute GO.0045893 {0,1}
@attribute GO.0045910 {0,1}
@attribute GO.0045934 {0,1}
@attribute GO.0045935 {0,1}
@attribute GO.0045937 {0,1}
@attribute GO.0045941 {0,1}
@attribute GO.0045944 {0,1}
@attribute GO.0046483 {0,1}
@attribute GO.0046649 {0,1}
@attribute GO.0046700 {0,1}
@attribute GO.0048285 {0,1}
@attribute GO.0048518 {0,1}
@attribute GO.0048519 {0,1}
@attribute GO.0048522 {0,1}
@attribute GO.0048523 {0,1}
@attribute GO.0048583 {0,1}
@attribute GO.0048584 {0,1}
@attribute GO.0048869 {0,1}
@attribute GO.0050789 {0,1}
@attribute GO.0050790 {0,1}
@attribute GO.0050794 {0,1}
@attribute GO.0050896 {0,1}
@attribute GO.0051052 {0,1}
@attribute GO.0051053 {0,1}
@attribute GO.0051054 {0,1}
@attribute GO.0051095 {0,1}
@attribute GO.0051096 {0,1}
@attribute GO.0051128 {0,1}
@attribute GO.0051129 {0,1}
@attribute GO.0051171 {0,1}
@attribute GO.0051172 {0,1}
@attribute GO.0051173 {0,1}
@attribute GO.0051174 {0,1}
@attribute GO.0051246 {0,1}
@attribute GO.0051247 {0,1}
@attribute GO.0051252 {0,1}
@attribute GO.0051254 {0,1}
@attribute GO.0051259 {0,1}
@attribute GO.0051276 {0,1}
@attribute GO.0051301 {0,1}
@attribute GO.0051336 {0,1}
@attribute GO.0051338 {0,1}
@attribute GO.0051345 {0,1}
@attribute GO.0051347 {0,1}
@attribute GO.0051603 {0,1}
@attribute GO.0051704 {0,1}
@attribute GO.0051716 {0,1}
@attribute GO.0051726 {0,1}
@attribute GO.0051865 {0,1}
@attribute GO.0055086 {0,1}
@attribute GO.0055114 {0,1}
@attribute GO.0060249 {0,1}
@attribute GO.0060255 {0,1}
@attribute GO.0060548 {0,1}
@attribute GO.0065003 {0,1}
@attribute GO.0065007 {0,1}
@attribute GO.0065008 {0,1}
@attribute GO.0065009 {0,1}
@attribute GO.0070647 {0,1}
@attribute GO.0071103 {0,1}
@attribute GO.0080090 {0,1}
@attribute GO.0080134 {0,1}
@attribute GO.0080135 {0,1}
@attribute Class {not-age-related,aging}

@data
916,NER,0.140468,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,aging
1186,Other,?,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,aging
1493,Other,0.201863,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,aging
396,NER,?,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,aging
395,NER,?,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,aging
143,Other,0,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,aging
756,MMR,0.196445,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aging
754,Other,?,18,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,aging
1014,BER,?,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,aging
261,DNApolym,0,71,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,aging
335,DNApolym,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aging
1107,DNApolym,?,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aging
